arquitetura,consulta,repeticao,tempo_s
parquet_bruto,Q1,1,2.1448
parquet_bruto,Q1,2,1.9471
parquet_bruto,Q1,3,2.2103
parquet_bruto,Q1,4,2.2383
parquet_bruto,Q1,5,1.8132
parquet_bruto,Q1,6,1.9086
parquet_bruto,Q1,7,2.1188
parquet_bruto,Q1,8,2.0535
parquet_bruto,Q1,9,2.0975
parquet_bruto,Q1,10,1.9746
parquet_bruto,Q1,11,2.2293
parquet_bruto,Q1,12,2.2143
parquet_bruto,Q1,13,2.1097
parquet_bruto,Q1,14,2.2657
parquet_bruto,Q1,15,2.1687
parquet_bruto,Q1,16,1.9737
parquet_bruto,Q1,17,2.1542
parquet_bruto,Q1,18,1.959
parquet_bruto,Q1,19,2.2291
parquet_bruto,Q1,20,2.0927
parquet_bruto,Q1,21,2.0728
parquet_bruto,Q1,22,1.9999
parquet_bruto,Q1,23,2.2797
parquet_bruto,Q1,24,2.0773
parquet_bruto,Q1,25,2.037
parquet_bruto,Q1,26,2.0482
parquet_bruto,Q1,27,2.1782
parquet_bruto,Q1,28,2.1537
parquet_bruto,Q1,29,2.1607
parquet_bruto,Q1,30,2.1633
delta,Q1,1,1.0119
delta,Q1,2,0.855
delta,Q1,3,0.8484
delta,Q1,4,0.8299
delta,Q1,5,0.9179
delta,Q1,6,0.9495
delta,Q1,7,0.873
delta,Q1,8,0.8282
delta,Q1,9,0.8292
delta,Q1,10,0.9201
delta,Q1,11,0.9258
delta,Q1,12,0.9135
delta,Q1,13,0.839
delta,Q1,14,0.8943
delta,Q1,15,0.8872
delta,Q1,16,0.8935
delta,Q1,17,0.9337
delta,Q1,18,0.8938
delta,Q1,19,0.9218
delta,Q1,20,0.8842
delta,Q1,21,0.8978
delta,Q1,22,0.9189
delta,Q1,23,0.7902
delta,Q1,24,0.8603
delta,Q1,25,0.851
delta,Q1,26,0.8406
delta,Q1,27,0.8631
delta,Q1,28,0.9721
delta,Q1,29,0.8267
delta,Q1,30,0.9396
iceberg,Q1,1,0.8116
iceberg,Q1,2,0.8984
iceberg,Q1,3,0.9305
iceberg,Q1,4,0.9578
iceberg,Q1,5,0.9658
iceberg,Q1,6,0.9711
iceberg,Q1,7,0.8975
iceberg,Q1,8,0.8902
iceberg,Q1,9,0.9753
iceberg,Q1,10,0.9077
iceberg,Q1,11,0.8378
iceberg,Q1,12,0.847
iceberg,Q1,13,0.8608
iceberg,Q1,14,0.952
iceberg,Q1,15,0.9292
iceberg,Q1,16,0.9645
iceberg,Q1,17,0.8925
iceberg,Q1,18,0.9302
iceberg,Q1,19,0.9603
iceberg,Q1,20,0.9001
iceberg,Q1,21,0.9494
iceberg,Q1,22,0.8774
iceberg,Q1,23,0.8966
iceberg,Q1,24,0.8954
iceberg,Q1,25,0.843
iceberg,Q1,26,0.9514
iceberg,Q1,27,0.8898
iceberg,Q1,28,0.9208
iceberg,Q1,29,0.951
iceberg,Q1,30,0.9488
parquet_bruto,Q2,1,3.5584
parquet_bruto,Q2,2,3.3766
parquet_bruto,Q2,3,3.2993
parquet_bruto,Q2,4,3.381
parquet_bruto,Q2,5,2.9984
parquet_bruto,Q2,6,3.0556
parquet_bruto,Q2,7,3.0852
parquet_bruto,Q2,8,3.1627
parquet_bruto,Q2,9,3.4951
parquet_bruto,Q2,10,3.1845
parquet_bruto,Q2,11,3.31
parquet_bruto,Q2,12,3.7092
parquet_bruto,Q2,13,3.3152
parquet_bruto,Q2,14,3.5755
parquet_bruto,Q2,15,3.1778
parquet_bruto,Q2,16,3.3511
parquet_bruto,Q2,17,3.1739
parquet_bruto,Q2,18,3.3193
parquet_bruto,Q2,19,3.6
parquet_bruto,Q2,20,2.9889
parquet_bruto,Q2,21,3.5034
parquet_bruto,Q2,22,3.4566
parquet_bruto,Q2,23,3.2586
parquet_bruto,Q2,24,3.0558
parquet_bruto,Q2,25,3.4172
parquet_bruto,Q2,26,3.274
parquet_bruto,Q2,27,3.4554
parquet_bruto,Q2,28,3.4052
parquet_bruto,Q2,29,3.7812
parquet_bruto,Q2,30,3.343
delta,Q2,1,1.2069
delta,Q2,2,1.3163
delta,Q2,3,1.32
delta,Q2,4,1.4237
delta,Q2,5,1.376
delta,Q2,6,1.3325
delta,Q2,7,1.4332
delta,Q2,8,1.1918
delta,Q2,9,1.2418
delta,Q2,10,1.2157
delta,Q2,11,1.2645
delta,Q2,12,1.1747
delta,Q2,13,1.3578
delta,Q2,14,1.2798
delta,Q2,15,1.1662
delta,Q2,16,1.2076
delta,Q2,17,1.3285
delta,Q2,18,1.3763
delta,Q2,19,1.4817
delta,Q2,20,1.5652
delta,Q2,21,1.3377
delta,Q2,22,1.21
delta,Q2,23,1.106
delta,Q2,24,1.3244
delta,Q2,25,1.226
delta,Q2,26,1.2622
delta,Q2,27,1.2443
delta,Q2,28,1.2872
delta,Q2,29,1.397
delta,Q2,30,1.3143
iceberg,Q2,1,1.4042
iceberg,Q2,2,1.3171
iceberg,Q2,3,1.2535
iceberg,Q2,4,1.3717
iceberg,Q2,5,1.4147
iceberg,Q2,6,1.5957
iceberg,Q2,7,1.4329
iceberg,Q2,8,1.5177
iceberg,Q2,9,1.3704
iceberg,Q2,10,1.3022
iceberg,Q2,11,1.3241
iceberg,Q2,12,1.3479
iceberg,Q2,13,1.6316
iceberg,Q2,14,1.3384
iceberg,Q2,15,1.5033
iceberg,Q2,16,1.3302
iceberg,Q2,17,1.5126
iceberg,Q2,18,1.4583
iceberg,Q2,19,1.4044
iceberg,Q2,20,1.4159
iceberg,Q2,21,1.3549
iceberg,Q2,22,1.4643
iceberg,Q2,23,1.3748
iceberg,Q2,24,1.2982
iceberg,Q2,25,1.293
iceberg,Q2,26,1.4372
iceberg,Q2,27,1.577
iceberg,Q2,28,1.4359
iceberg,Q2,29,1.4082
iceberg,Q2,30,1.4484
parquet_bruto,Q3,1,1.9646
parquet_bruto,Q3,2,1.8276
parquet_bruto,Q3,3,1.7482
parquet_bruto,Q3,4,1.9394
parquet_bruto,Q3,5,1.854
parquet_bruto,Q3,6,1.9935
parquet_bruto,Q3,7,1.8231
parquet_bruto,Q3,8,1.6457
parquet_bruto,Q3,9,1.6276
parquet_bruto,Q3,10,2.008
parquet_bruto,Q3,11,2.0172
parquet_bruto,Q3,12,1.7774
parquet_bruto,Q3,13,1.7517
parquet_bruto,Q3,14,1.9841
parquet_bruto,Q3,15,1.6605
parquet_bruto,Q3,16,1.6873
parquet_bruto,Q3,17,1.8811
parquet_bruto,Q3,18,1.7503
parquet_bruto,Q3,19,1.7994
parquet_bruto,Q3,20,1.7794
parquet_bruto,Q3,21,1.8425
parquet_bruto,Q3,22,1.9773
parquet_bruto,Q3,23,1.8114
parquet_bruto,Q3,24,1.8811
parquet_bruto,Q3,25,1.5417
parquet_bruto,Q3,26,1.7939
parquet_bruto,Q3,27,1.6938
parquet_bruto,Q3,28,1.6464
parquet_bruto,Q3,29,1.6894
parquet_bruto,Q3,30,1.7579
delta,Q3,1,1.0109
delta,Q3,2,0.8618
delta,Q3,3,0.952
delta,Q3,4,0.9178
delta,Q3,5,0.9282
delta,Q3,6,1.0167
delta,Q3,7,0.9858
delta,Q3,8,1.0389
delta,Q3,9,0.9397
delta,Q3,10,0.9037
delta,Q3,11,0.9351
delta,Q3,12,0.9661
delta,Q3,13,0.9617
delta,Q3,14,0.8779
delta,Q3,15,0.956
delta,Q3,16,0.9652
delta,Q3,17,1.1174
delta,Q3,18,1.0748
delta,Q3,19,0.8933
delta,Q3,20,0.9309
delta,Q3,21,0.8527
delta,Q3,22,0.9107
delta,Q3,23,0.971
delta,Q3,24,1.0302
delta,Q3,25,0.9015
delta,Q3,26,0.9065
delta,Q3,27,0.8072
delta,Q3,28,0.9392
delta,Q3,29,0.8793
delta,Q3,30,0.9148
iceberg,Q3,1,0.8448
iceberg,Q3,2,0.8941
iceberg,Q3,3,0.7893
iceberg,Q3,4,0.8076
iceberg,Q3,5,1.0341
iceberg,Q3,6,0.8189
iceberg,Q3,7,0.8309
iceberg,Q3,8,1.0157
iceberg,Q3,9,1.083
iceberg,Q3,10,0.8262
iceberg,Q3,11,0.8768
iceberg,Q3,12,0.9215
iceberg,Q3,13,1.0089
iceberg,Q3,14,0.8378
iceberg,Q3,15,0.8845
iceberg,Q3,16,0.949
iceberg,Q3,17,0.9274
iceberg,Q3,18,0.8763
iceberg,Q3,19,0.8916
iceberg,Q3,20,0.8134
iceberg,Q3,21,0.885
iceberg,Q3,22,0.8832
iceberg,Q3,23,0.9146
iceberg,Q3,24,0.865
iceberg,Q3,25,0.9297
iceberg,Q3,26,0.9638
iceberg,Q3,27,0.9098
iceberg,Q3,28,0.9222
iceberg,Q3,29,0.9033
iceberg,Q3,30,0.9
parquet_bruto,Q4,1,3.5068
parquet_bruto,Q4,2,4.5458
parquet_bruto,Q4,3,4.0991
parquet_bruto,Q4,4,7.0878
parquet_bruto,Q4,5,6.2241
parquet_bruto,Q4,6,4.6253
parquet_bruto,Q4,7,3.4706
parquet_bruto,Q4,8,3.1803
parquet_bruto,Q4,9,5.6569
parquet_bruto,Q4,10,4.4851
parquet_bruto,Q4,11,4.7357
parquet_bruto,Q4,12,2.7154
parquet_bruto,Q4,13,5.296
parquet_bruto,Q4,14,4.7053
parquet_bruto,Q4,15,3.1819
parquet_bruto,Q4,16,3.733
parquet_bruto,Q4,17,4.4862
parquet_bruto,Q4,18,4.2555
parquet_bruto,Q4,19,3.9042
parquet_bruto,Q4,20,4.0927
parquet_bruto,Q4,21,3.9436
parquet_bruto,Q4,22,4.3633
parquet_bruto,Q4,23,6.0676
parquet_bruto,Q4,24,2.2109
parquet_bruto,Q4,25,3.9585
parquet_bruto,Q4,26,4.3895
parquet_bruto,Q4,27,4.5226
parquet_bruto,Q4,28,3.8271
parquet_bruto,Q4,29,2.7072
parquet_bruto,Q4,30,4.5589
delta,Q4,1,2.3871
delta,Q4,2,1.0563
delta,Q4,3,1.9236
delta,Q4,4,1.4278
delta,Q4,5,1.5264
delta,Q4,6,1.1913
delta,Q4,7,1.4257
delta,Q4,8,2.1453
delta,Q4,9,1.7931
delta,Q4,10,2.3901
delta,Q4,11,2.0805
delta,Q4,12,1.7298
delta,Q4,13,2.397
delta,Q4,14,1.7298
delta,Q4,15,1.9065
delta,Q4,16,1.4392
delta,Q4,17,1.576
delta,Q4,18,1.302
delta,Q4,19,1.9851
delta,Q4,20,1.1545
delta,Q4,21,1.8848
delta,Q4,22,1.4779
delta,Q4,23,2.0773
delta,Q4,24,1.8701
delta,Q4,25,2.4435
delta,Q4,26,1.8607
delta,Q4,27,1.0463
delta,Q4,28,1.5243
delta,Q4,29,1.1563
delta,Q4,30,1.3616
iceberg,Q4,1,2.3345
iceberg,Q4,2,1.8765
iceberg,Q4,3,1.3435
iceberg,Q4,4,1.2418
iceberg,Q4,5,1.6132
iceberg,Q4,6,1.1804
iceberg,Q4,7,1.3529
iceberg,Q4,8,1.7298
iceberg,Q4,9,2.1358
iceberg,Q4,10,1.863
iceberg,Q4,11,0.9023
iceberg,Q4,12,1.7265
iceberg,Q4,13,1.6291
iceberg,Q4,14,1.7744
iceberg,Q4,15,2.3966
iceberg,Q4,16,0.9552
iceberg,Q4,17,1.3802
iceberg,Q4,18,1.8547
iceberg,Q4,19,1.0775
iceberg,Q4,20,2.314
iceberg,Q4,21,1.7543
iceberg,Q4,22,1.9771
iceberg,Q4,23,1.3872
iceberg,Q4,24,1.961
iceberg,Q4,25,2.0899
iceberg,Q4,26,1.6959
iceberg,Q4,27,1.6966
iceberg,Q4,28,1.7119
iceberg,Q4,29,1.2894
iceberg,Q4,30,1.5421
parquet_bruto,Q5,1,2.5722
parquet_bruto,Q5,2,2.6698
parquet_bruto,Q5,3,2.782
parquet_bruto,Q5,4,2.4073
parquet_bruto,Q5,5,2.5772
parquet_bruto,Q5,6,2.8696
parquet_bruto,Q5,7,2.4647
parquet_bruto,Q5,8,2.4504
parquet_bruto,Q5,9,2.6368
parquet_bruto,Q5,10,2.7537
parquet_bruto,Q5,11,2.6021
parquet_bruto,Q5,12,2.8419
parquet_bruto,Q5,13,2.7559
parquet_bruto,Q5,14,2.7532
parquet_bruto,Q5,15,2.7008
parquet_bruto,Q5,16,3.0236
parquet_bruto,Q5,17,2.5627
parquet_bruto,Q5,18,2.2354
parquet_bruto,Q5,19,2.892
parquet_bruto,Q5,20,2.5167
parquet_bruto,Q5,21,2.6196
parquet_bruto,Q5,22,2.8383
parquet_bruto,Q5,23,2.3084
parquet_bruto,Q5,24,2.3722
parquet_bruto,Q5,25,2.3086
parquet_bruto,Q5,26,2.4555
parquet_bruto,Q5,27,2.68
parquet_bruto,Q5,28,2.6954
parquet_bruto,Q5,29,2.6503
parquet_bruto,Q5,30,2.3429
delta,Q5,1,0.9221
delta,Q5,2,1.1042
delta,Q5,3,1.0637
delta,Q5,4,1.1354
delta,Q5,5,1.1541
delta,Q5,6,1.1106
delta,Q5,7,1.1585
delta,Q5,8,1.1176
delta,Q5,9,1.1408
delta,Q5,10,1.0457
delta,Q5,11,1.0862
delta,Q5,12,1.1152
delta,Q5,13,1.1632
delta,Q5,14,1.0697
delta,Q5,15,1.1401
delta,Q5,16,1.0795
delta,Q5,17,1.0909
delta,Q5,18,1.1639
delta,Q5,19,0.9465
delta,Q5,20,1.0002
delta,Q5,21,0.9859
delta,Q5,22,0.9203
delta,Q5,23,1.0478
delta,Q5,24,1.1577
delta,Q5,25,1.0781
delta,Q5,26,1.1152
delta,Q5,27,1.1839
delta,Q5,28,1.2022
delta,Q5,29,1.0947
delta,Q5,30,1.2042
iceberg,Q5,1,1.0568
iceberg,Q5,2,0.9885
iceberg,Q5,3,1.0063
iceberg,Q5,4,0.9412
iceberg,Q5,5,0.9847
iceberg,Q5,6,1.0237
iceberg,Q5,7,1.1091
iceberg,Q5,8,1.1765
iceberg,Q5,9,0.9484
iceberg,Q5,10,1.0789
iceberg,Q5,11,0.9735
iceberg,Q5,12,1.0849
iceberg,Q5,13,1.0404
iceberg,Q5,14,0.9154
iceberg,Q5,15,1.1182
iceberg,Q5,16,1.0055
iceberg,Q5,17,1.0108
iceberg,Q5,18,0.9714
iceberg,Q5,19,1.0019
iceberg,Q5,20,1.0814
iceberg,Q5,21,1.0361
iceberg,Q5,22,1.0742
iceberg,Q5,23,1.0766
iceberg,Q5,24,1.1471
iceberg,Q5,25,1.0248
iceberg,Q5,26,0.9415
iceberg,Q5,27,1.1284
iceberg,Q5,28,1.0256
iceberg,Q5,29,1.1319
iceberg,Q5,30,1.0782
